ENSEMBL	ENTREZID
ENSG00000284662	81399
ENSG00000291156	100288175
ENSG00000248333	984
ENSG00000169598	1677
ENSG00000236423	100133612
ENSG00000049246	8863
ENSG00000131686	765
ENSG00000142583	6518
ENSG00000049239	9563
ENSG00000171621	80176
ENSG00000171608	5293
ENSG00000178585	56998
ENSG00000130939	10277
ENSG00000011021	1185
ENSG00000162493	10630
ENSG00000171729	55092
ENSG00000197312	84301
ENSG00000157191	55707
ENSG00000117118	6390
ENSG00000142619	51702
ENSG00000169991	126917
ENSG00000053371	8574
ENSG00000162545	55450
ENSG00000231105	100506801
ENSG00000125945	80818
ENSG00000011007	6924
ENSG00000117614	25949
ENSG00000117643	57134
ENSG00000117682	79947
ENSG00000090273	10726
ENSG00000158195	10163
ENSG00000126709	2537
ENSG00000169403	5724
ENSG00000175130	65108
ENSG00000116497	64766
ENSG00000284154	100500853
ENSG00000163866	113444
ENSG00000142686	127703
ENSG00000163874	80149
ENSG00000185668	5453
ENSG00000116990	4610
ENSG00000117016	9783
ENSG00000171793	1503
ENSG00000066322	64834
ENSG00000198198	23334
ENSG00000178922	81888
ENSG00000173846	1263
ENSG00000126107	79654
ENSG00000123472	64756
ENSG00000162366	10158
ENSG00000134744	23318
ENSG00000116171	6342
ENSG00000187889	199920
ENSG00000021852	732
ENSG00000203965	84455
ENSG00000223949	101927034
ENSG00000116729	79971
ENSG00000116761	1491
ENSG00000254685	8790
ENSG00000142892	10026
ENSG00000137960	54810
ENSG00000137959	10964
ENSG00000137965	10561
ENSG00000142875	5567
ENSG00000171517	23566
ENSG00000153898	255231
ENSG00000055732	55283
ENSG00000162643	126820
ENSG00000097096	84144
ENSG00000137975	9635
ENSG00000016602	22802
ENSG00000143013	8543
ENSG00000154451	115362
ENSG00000183347	163351
ENSG00000137936	8412
ENSG00000023909	2730
ENSG00000117525	2152
ENSG00000143036	126969
ENSG00000099260	54873
ENSG00000156875	64645
ENSG00000162694	2135
ENSG00000170989	1901
ENSG00000134215	10451
ENSG00000134222	84722
ENSG00000134243	6272
ENSG00000174151	284613
ENSG00000134184	2944
ENSG00000197852	55924
ENSG00000116774	56944
ENSG00000177551	4808
ENSG00000173212	126868
ENSG00000163399	476
ENSG00000134258	79679
ENSG00000198162	10905
ENSG00000134250	4853
ENSG00000290869	101927429
ENSG00000288905	645166
ENSG00000288905	107985200
ENSG00000291150	645166
ENSG00000291150	107985911
ENSG00000186141	10623
ENSG00000207340	101954273
