converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3
ENSG00000290825	0.03958	0.08353	0.08404	0.08911	0.08877	0.06094
ENSG00000278267	1.923	3.044	2.722	2.165	2.156	3.701
ENSG00000284332	0.0	0.0	0.0	0.0	0.0	0.1824
ENSG00000290825	0.1221	0.04294	0.0576	0.0458	0.1369	0.1253
ENSG00000273874	0.9615	2.029	0.6806	1.082	1.078	1.11
ENSG00000210151	4480.0	4978.0	3439.0	2662.0	3440.0	3873.0
ENSG00000284662	0.01131	0.01194	0.008007	0.0	0.0	0.004354
ENSG00000177757	0.03363	0.1775	0.2143	0.1514	0.1509	0.1036
ENSG00000228794	0.8073	0.7473	0.8972	0.9088	0.9529	1.082
ENSG00000288531	0.05329	0.0	0.0	0.0	0.0	0.0
ENSG00000230368	0.0	0.0	0.08138	0.0	0.0	0.0
ENSG00000223764	0.1302	0.1374	0.03073	0.0	0.0	0.01671
ENSG00000187634	2.506	2.698	1.828	2.706	1.634	2.037
ENSG00000188976	39.65	42.6	39.68	48.4	40.64	45.0
ENSG00000187961	2.195	2.969	1.921	3.886	1.902	1.951
ENSG00000187583	3.445	3.997	3.883	4.264	2.783	3.425
ENSG00000187642	0.5788	0.8589	0.8065	0.8144	0.4665	0.8076
ENSG00000188290	0.9875	2.12	1.422	1.265	0.7256	0.9831
ENSG00000187608	4.619	6.174	3.56	9.475	5.64	8.968
ENSG00000188157	23.92	31.81	23.71	34.21	19.1	22.35
ENSG00000291156	0.6713	0.4959	0.6177	1.209	0.9786	1.447
ENSG00000237330	0.6882	0.7989	0.6333	0.9685	0.5017	0.9404
ENSG00000131591	1.479	2.27	1.637	2.996	1.206	1.335
ENSG00000207607	0.0	0.0	1.543	2.453	0.8147	0.8389
ENSG00000198976	2.363	7.482	7.806	3.547	1.767	3.335
ENSG00000162571	0.0	0.0	0.0	0.0	0.0	0.005858
ENSG00000186891	0.0	0.0	0.01884	0.02996	0.0	0.03073
ENSG00000186827	0.0	0.0188	0.0	0.02005	0.01997	0.006856
ENSG00000078808	25.29	28.6	22.73	34.58	23.01	25.06
ENSG00000176022	4.732	4.256	3.646	3.411	3.869	3.643
ENSG00000184163	0.0	0.2108	0.07071	0.1687	0.112	0.1154
ENSG00000160087	4.296	4.693	4.503	5.04	4.226	4.021
ENSG00000162572	0.1499	0.2711	0.3031	0.2651	0.1681	0.1236
ENSG00000131584	3.381	4.234	3.803	4.561	3.339	3.271
ENSG00000278073	0.0	1.131	0.7587	0.0	1.202	0.8251
ENSG00000169972	3.751	4.056	4.228	5.63	2.96	3.137
ENSG00000127054	14.28	14.23	15.97	19.77	14.64	14.74
ENSG00000283712	0.0	0.0	0.712	1.132	0.0	0.0
ENSG00000224051	2.58	2.995	2.618	3.776	2.242	2.805
ENSG00000169962	0.29	0.2678	0.3336	0.2653	0.122	0.1675
ENSG00000107404	10.72	14.37	10.67	16.47	8.817	10.28
ENSG00000284372	1.108	0.0	0.0	1.248	1.243	0.0
ENSG00000162576	1.013	1.183	1.032	1.14	1.015	0.8316
ENSG00000175756	18.59	19.81	20.18	26.63	18.77	20.21
ENSG00000221978	14.42	19.45	19.71	18.82	16.99	16.55
ENSG00000224870	8.528	6.513	6.91	7.2	6.418	7.084
ENSG00000242485	39.42	35.33	31.62	36.48	33.47	43.2
ENSG00000235098	4.757	6.404	5.141	5.774	3.842	4.423
ENSG00000205116	0.0	0.0	0.0	0.0	0.0	0.05115
ENSG00000179403	3.217	4.485	3.318	6.079	2.661	2.986
ENSG00000215915	0.3046	0.2321	0.2994	0.2667	0.1898	0.2931
ENSG00000160072	2.66	3.611	3.33	4.732	2.913	3.164
ENSG00000197785	5.167	6.434	5.903	8.955	5.972	6.604
ENSG00000205090	0.04734	0.0	0.0	0.0	0.05309	0.0
ENSG00000160075	55.15	50.14	48.15	47.92	49.39	53.98
ENSG00000228594	0.9235	0.8771	1.264	1.698	0.5523	0.9953
ENSG00000197530	0.9984	1.374	1.055	1.549	0.7792	0.9244
ENSG00000189409	0.1419	0.1248	0.2344	0.213	0.1326	0.173
ENSG00000248333	16.24	15.21	15.69	16.53	17.31	17.89
ENSG00000189339	5.338	5.633	5.413	5.562	5.36	5.017
ENSG00000008128	16.89	17.19	16.22	16.7	17.91	17.7
ENSG00000008130	5.829	5.488	5.408	6.476	5.529	5.634
ENSG00000078369	160.8	141.0	146.7	160.1	155.0	152.1
ENSG00000231050	0.0	0.2347	0.03148	0.05007	0.1496	0.1712
ENSG00000169885	0.233	0.2766	0.1649	0.4262	0.196	0.213
ENSG00000178821	0.0	0.5166	0.0495	0.3149	0.1568	0.2692
ENSG00000142609	0.0	0.0	0.01251	0.0	0.0	0.0
ENSG00000067606	5.517	5.184	5.405	5.841	4.651	5.066
ENSG00000182873	1.878	2.203	1.256	1.469	1.404	1.627
ENSG00000162585	1.575	1.997	1.581	2.064	1.374	1.437
ENSG00000157933	3.813	4.098	3.536	5.15	3.573	3.859
ENSG00000116151	0.3373	0.4673	0.5	0.629	0.3547	0.4585
ENSG00000292993	0.7271	0.4297	0.4941	0.6221	0.3914	0.515
ENSG00000157916	33.04	32.22	31.26	32.38	32.45	31.2
ENSG00000157911	4.911	5.614	5.994	4.997	4.342	4.641
ENSG00000149527	8.69	11.6	8.396	12.43	8.987	9.223
ENSG00000157881	3.822	3.895	3.604	5.074	4.057	3.992
ENSG00000197921	0.07643	0.08065	0.0541	0.0	0.1286	0.02942
ENSG00000157873	1.153	1.608	1.37	1.39	0.985	0.8611
ENSG00000157870	7.87	6.563	7.412	8.402	6.315	7.539
ENSG00000142606	0.6493	0.706	0.6964	0.6645	0.6399	0.6816
ENSG00000215912	0.01847	0.06822	0.01961	0.0	0.06214	0.03199
ENSG00000177133	0.0	0.01793	0.04811	0.03826	0.0	0.03924
ENSG00000142611	0.2631	0.2063	0.1969	0.22	0.1602	0.1794
ENSG00000130762	3.672	4.188	3.415	5.357	3.674	3.619
ENSG00000162591	0.4376	0.645	0.4273	0.4247	0.3808	0.3485
ENSG00000158109	18.3	18.19	21.9	18.58	19.91	20.85
ENSG00000116213	4.611	4.98	4.2	5.835	4.129	3.922
ENSG00000078900	0.1643	0.2477	0.1246	0.1453	0.09213	0.1039
ENSG00000293478	1.54	2.02	1.57	1.916	1.624	1.634
ENSG00000162592	0.0	0.0	0.0	0.0	0.0	0.02054
ENSG00000235169	0.4564	0.9633	0.4846	1.028	1.408	0.4831
ENSG00000130764	8.205	7.697	7.83	9.203	7.77	8.241
ENSG00000116198	5.896	4.86	5.495	5.448	5.647	5.318
ENSG00000169598	0.9421	0.7906	0.916	1.112	1.146	1.088
ENSG00000198912	3.028	3.163	2.868	2.909	3.292	3.008
ENSG00000236423	0.1005	0.1767	0.1185	0.0	0.07512	0.02579
ENSG00000196581	0.07508	0.169	0.124	0.09579	0.05052	0.07899
ENSG00000131697	0.892	0.7845	0.8308	1.136	0.9564	0.9849
ENSG00000069424	0.3903	0.4506	0.4835	0.4532	0.383	0.4367
ENSG00000116254	0.006638	0.02102	0.02819	0.01494	0.03722	0.01277
ENSG00000116251	192.9	182.3	226.7	210.7	220.0	208.5
ENSG00000226944	0.173	0.3651	0.0	0.3894	0.3879	0.1332
ENSG00000158286	3.064	4.375	2.98	4.334	3.971	4.292
ENSG00000116237	18.69	18.07	18.77	17.04	17.39	18.78
ENSG00000158292	10.78	11.19	10.86	14.67	11.41	11.79
ENSG00000097021	18.87	18.78	19.45	25.35	15.77	22.62
ENSG00000069812	74.25	67.93	68.32	70.46	69.47	70.03
ENSG00000187017	4.883	6.682	5.359	5.404	3.902	3.756
ENSG00000215788	5.494	8.751	6.981	8.912	5.931	7.08
ENSG00000171680	10.3	13.27	11.48	15.11	9.964	11.56
ENSG00000162408	2.674	2.359	2.274	2.115	2.479	2.071
ENSG00000173662	0.0	0.0	0.0	0.01729	0.0	0.005913
ENSG00000204859	2.894	4.041	3.25	4.507	3.318	3.584
ENSG00000162413	6.553	6.454	8.349	8.181	7.185	6.706
ENSG00000116273	3.691	3.393	3.636	3.025	3.986	3.201
ENSG00000041988	3.077	3.358	3.539	5.156	3.333	3.62
ENSG00000007923	17.22	14.85	19.1	19.25	17.99	19.96
ENSG00000171735	0.5982	0.6375	0.7952	0.634	0.6447	0.7087
ENSG00000049245	40.95	37.32	42.02	36.2	39.8	37.21
ENSG00000049246	1.115	1.031	1.236	0.8397	0.733	0.666
ENSG00000049249	0.06662	0.1004	0.05389	0.05357	0.05336	0.05129
ENSG00000116288	87.32	82.4	88.43	84.39	94.0	93.38
ENSG00000116285	17.05	16.38	18.76	19.37	23.32	23.08
ENSG00000227634	0.1316	0.0	0.0	0.0	0.0	0.0
ENSG00000162426	0.1025	0.1893	0.05443	0.1443	0.0	0.1085
ENSG00000142599	8.773	9.177	7.817	8.99	8.028	8.029
ENSG00000074800	595.0	534.9	541.8	690.9	596.2	622.0
ENSG00000274258	0.0	0.7753	1.04	1.654	0.8238	1.979
ENSG00000230679	0.0	0.1544	0.5177	0.0	0.164	0.1126
ENSG00000131686	0.0	0.0	0.0	0.0456	0.04543	0.03119
ENSG00000142583	0.2775	0.2811	0.1964	0.1249	0.1867	0.1324
ENSG00000180758	9.634	9.585	9.231	10.66	9.258	10.07
ENSG00000228526	3.114	3.054	3.117	3.258	3.281	2.688
ENSG00000284357	0.5944	0.6273	1.262	2.007	0.6666	0.4576
ENSG00000234546	3.995	2.74	2.404	3.823	2.464	2.281
ENSG00000049239	1.995	2.082	1.946	1.894	1.742	1.768
