"initial_alias","converted_alias","name","description","namespace"
"100287102","ENSG00000290825","DDX11L2","DEAD/H-box helicase 11 like 2 (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:84771]","ENTREZGENE_ACC"
"653635","None","None","None",""
"102466751","ENSG00000278267","MIR6859-1","microRNA 6859-1 [Source:HGNC Symbol;Acc:HGNC:50039]","ENTREZGENE_ACC"
"107985730","None","None","None",""
"100302278","ENSG00000284332","MIR1302-2","microRNA 1302-2 [Source:HGNC Symbol;Acc:HGNC:35294]","ENTREZGENE_ACC"
"645520","ENSG00000237613","FAM138A","family with sequence similarity 138 member A [Source:HGNC Symbol;Acc:HGNC:32334]","ENTREZGENE_ACC"
"79501","ENSG00000186092","OR4F5","olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]","ENTREZGENE_ACC"
"100996442","None","None","None",""
"729737","None","None","None",""
"102725121","ENSG00000290825","DDX11L2","DEAD/H-box helicase 11 like 2 (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:84771]","ENTREZGENE_ACC"
"102723897","None","None","None",""
"102465909","ENSG00000273874","MIR6859-2","microRNA 6859-2 [Source:HGNC Symbol;Acc:HGNC:49954]","ENTREZGENE_ACC"
"107985721","None","None","None",""
"112268260","None","None","None",""
"729759","ENSG00000284733","OR4F29","olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]","ENTREZGENE_ACC"
"100132287","None","None","None",""
"105378947","None","None","None",""
"101928626","ENSG00000293331","None","novel transcript","ENTREZGENE_ACC"
"113219467","ENSG00000210151","MT-TS1","mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]","ENTREZGENE_ACC"
"81399","ENSG00000284662","OR4F16","olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]","ENTREZGENE_ACC"
"100133331","None","None","None",""
"107984841","None","None","None",""
"107984847","None","None","None",""
"107984849","None","None","None",""
"100288069","None","None","None",""
"105378580","None","None","None",""
"400728","ENSG00000177757","FAM87B","family with sequence similarity 87 member B [Source:HGNC Symbol;Acc:HGNC:32236]","ENTREZGENE_ACC"
"79854","None","None","None",""
"643837","ENSG00000228794","LINC01128","long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]","ENTREZGENE_ACC"
"107984850","ENSG00000288531","None","novel transcript","ENTREZGENE_ACC"
"284593","ENSG00000230368","FAM41C","family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635]","ENTREZGENE_ACC"
"284600","None","None","None",""
"100130417","ENSG00000223764","LINC02593","long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]","ENTREZGENE_ACC"
"107985728","None","None","None",""
"148398","ENSG00000187634","SAMD11","sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]","ENTREZGENE_ACC"
"26155","ENSG00000188976","NOC2L","NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]","ENTREZGENE_ACC"
"339451","ENSG00000187961","KLHL17","kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]","ENTREZGENE_ACC"
"84069","ENSG00000187583","PLEKHN1","pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]","ENTREZGENE_ACC"
"84808","ENSG00000187642","PERM1","PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]","ENTREZGENE_ACC"
"57801","ENSG00000188290","HES4","hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]","ENTREZGENE_ACC"
"9636","ENSG00000187608","ISG15","ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","ENTREZGENE_ACC"
"375790","ENSG00000188157","AGRN","agrin [Source:HGNC Symbol;Acc:HGNC:329]","ENTREZGENE_ACC"
"100288175","ENSG00000291156","None","novel transcript","ENTREZGENE_ACC"
"112267874","None","None","None",""
"105378948","None","None","None",""
"401934","ENSG00000237330","RNF223","ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]","ENTREZGENE_ACC"
"54991","ENSG00000131591","C1orf159","chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]","ENTREZGENE_ACC"
"254099","ENSG00000223823","LINC01342","long intergenic non-protein coding RNA 1342 [Source:HGNC Symbol;Acc:HGNC:50551]","ENTREZGENE_ACC"
"406984","ENSG00000207730","MIR200B","microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]","ENTREZGENE_ACC"
"406983","ENSG00000207607","MIR200A","microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]","ENTREZGENE_ACC"
"554210","ENSG00000198976","MIR429","microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]","ENTREZGENE_ACC"
"100506376","ENSG00000205231","TTLL10-AS1","TTLL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41159]","ENTREZGENE_ACC"
"254173","ENSG00000162571","TTLL10","tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]","ENTREZGENE_ACC"
"8784","ENSG00000186891","TNFRSF18","TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]","ENTREZGENE_ACC"
"7293","ENSG00000186827","TNFRSF4","TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]","ENTREZGENE_ACC"
"51150","ENSG00000078808","SDF4","stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]","ENTREZGENE_ACC"
